product_id,product_name,category,subcategory,unit_cost,selling_price,reorder_level
P0001,Coffee Max 1,Grocery,Beverages,63.49,79.08,46
P0002,Juice Smart 2,Grocery,Beverages,10.85,13.28,79
P0003,Gym Bag Essential 3,Sports & Fitness,Fitness,179.86,271.52,127
P0004,Chair Max 4,Home & Kitchen,Storage,202.93,240.08,226
P0005,Mixer Max 5,Home & Kitchen,Storage,41.4,67.48,106
P0006,Keyboard Plus 6,Electronics,Accessories,91.67,122.99,87
P0007,Power Bank Plus 7,Electronics,Mobile,243.36,330.46,161
P0008,Calculator Essential 8,Office Supplies,Office Equipment,177.03,212.71,78
P0009,File Folder Essential 9,Office Supplies,Stationery,217.02,294.86,136
P0010,Green Tea Classic 10,Grocery,Staples,90.75,135.67,199
P0011,Juice Prime 11,Grocery,Beverages,134.93,174.74,138
P0012,Hair Dryer Essential 12,Personal Care,Grooming,172.1,271.25,218
P0013,Headphones Pro 13,Electronics,Audio,201.85,276.24,36
P0014,Storage Box Elite 14,Home & Kitchen,Appliances,100.72,162.14,137
P0015,Storage Box Essential 15,Home & Kitchen,Appliances,187.01,268.05,211
P0016,Gym Bag Smart 16,Sports & Fitness,Equipment,92.41,152.36,55
P0017,Yoga Mat Pro 17,Sports & Fitness,Equipment,215.69,270.01,60
P0018,Juice Plus 18,Grocery,Packaged Food,98.04,143.15,139
P0019,Gym Bag Pro 19,Sports & Fitness,Sportswear,171.03,211.02,246
P0020,T-Shirt Classic 20,Sports & Fitness,Sportswear,30.55,42.29,136
P0021,Power Bank Prime 21,Electronics,Computer,128.4,157.93,180
P0022,Printer Paper Classic 22,Office Supplies,Paper,191.34,274.29,219
P0023,Gym Bag Classic 23,Sports & Fitness,Fitness,123.69,152.46,112
P0024,Notebook Essential 24,Office Supplies,Paper,219.87,357.3,41
P0025,Cooking Oil Plus 25,Grocery,Packaged Food,244.56,349.81,52
P0026,Chair Prime 26,Home & Kitchen,Storage,68.47,108.87,128
P0027,Water Bottle Max 27,Home & Kitchen,Furniture,101.55,151.89,115
P0028,Face Wash Essential 28,Personal Care,Wellness,58.5,78.33,170
P0029,Gym Bag Essential 29,Sports & Fitness,Outdoor,4.78,7.23,35
P0030,Cookware Set Classic 30,Home & Kitchen,Kitchen,20.5,26.48,191
P0031,Body Lotion Prime 31,Personal Care,Haircare,181.67,289.71,167
P0032,Sunscreen Elite 32,Personal Care,Haircare,202.45,257.01,44
P0033,Cereal Smart 33,Grocery,Packaged Food,104.54,165.8,33
P0034,Coffee Smart 34,Grocery,Beverages,182.87,284.6,47
P0035,Storage Box Elite 35,Home & Kitchen,Furniture,37.63,47.65,138
P0036,Desk Lamp Plus 36,Home & Kitchen,Kitchen,15.5,25.57,234
P0037,Headphones Essential 37,Electronics,Accessories,44.08,62.08,74
P0038,Shampoo Smart 38,Personal Care,Skincare,3.53,4.81,220
P0039,Trimmer Elite 39,Personal Care,Grooming,41.23,54.4,34
P0040,Skipping Rope Classic 40,Sports & Fitness,Fitness,17.12,24.9,148
P0041,Yoga Mat Plus 41,Sports & Fitness,Outdoor,213.28,258.54,37
P0042,Biscuits Plus 42,Grocery,Snacks,235.57,341.05,168
P0043,Gym Bag Plus 43,Sports & Fitness,Fitness,106.55,154.96,153
P0044,Printer Paper Classic 44,Office Supplies,Office Equipment,61.96,84.64,191
P0045,Biscuits Classic 45,Grocery,Staples,232.47,376.55,22
P0046,Face Wash Essential 46,Personal Care,Skincare,127.95,158.95,109
P0047,USB Hub Max 47,Electronics,Audio,41.96,65.96,200
P0048,Stapler Max 48,Office Supplies,Stationery,233.14,286.46,244
P0049,Cookware Set Plus 49,Home & Kitchen,Appliances,186.38,233.55,92
P0050,Skipping Rope Classic 50,Sports & Fitness,Outdoor,53.29,78.77,87
P0051,Running Shoes Pro 51,Sports & Fitness,Equipment,25.8,35.58,90
P0052,USB Hub Prime 52,Electronics,Accessories,160.37,208.98,209
P0053,Body Lotion Pro 53,Personal Care,Wellness,30.63,49.75,196
P0054,Air Fryer Classic 54,Home & Kitchen,Kitchen,146.88,183.54,52
P0055,USB Hub Pro 55,Electronics,Computer,225.03,287.75,83
P0056,Cereal Smart 56,Grocery,Beverages,243.54,373.17,80
P0057,Desk Lamp Pro 57,Home & Kitchen,Furniture,47.3,76.37,220
P0058,Moisturizer Prime 58,Personal Care,Haircare,197.48,243.06,243
P0059,Bluetooth Speaker Essential 59,Electronics,Mobile,204.7,285.83,98
P0060,Cookware Set Essential 60,Home & Kitchen,Furniture,101.42,132.96,37
P0061,Stapler Smart 61,Office Supplies,Office Equipment,170.84,269.33,104
P0062,USB Hub Prime 62,Electronics,Accessories,146.41,240.44,29
P0063,USB Hub Classic 63,Electronics,Mobile,110.79,181.98,49
P0064,Moisturizer Pro 64,Personal Care,Haircare,178.07,210.26,226
P0065,Running Shoes Smart 65,Sports & Fitness,Outdoor,20.28,30.26,104
P0066,Skipping Rope Plus 66,Sports & Fitness,Sportswear,180.78,238.84,99
P0067,Cereal Smart 67,Grocery,Packaged Food,175.21,252.4,69
P0068,Hair Dryer Prime 68,Personal Care,Wellness,155.03,204.86,160
P0069,USB Hub Essential 69,Electronics,Computer,109.18,158.59,187
P0070,Desk Organizer Elite 70,Office Supplies,Writing,169.88,241.27,223
P0071,Rice Plus 71,Grocery,Snacks,73.1,109.07,178
P0072,File Folder Essential 72,Office Supplies,Stationery,169.18,217.49,70
P0073,Cookware Set Essential 73,Home & Kitchen,Kitchen,246.03,361.0,216
P0074,Keyboard Essential 74,Electronics,Mobile,180.43,245.47,122
P0075,Water Bottle Pro 75,Home & Kitchen,Furniture,223.49,354.1,246
P0076,Bluetooth Speaker Prime 76,Electronics,Mobile,201.62,303.86,138
P0077,Headphones Plus 77,Electronics,Audio,115.75,180.18,190
P0078,T-Shirt Elite 78,Sports & Fitness,Sportswear,154.33,234.28,149
P0079,Shampoo Elite 79,Personal Care,Wellness,114.17,175.06,235
P0080,Cooking Oil Elite 80,Grocery,Staples,157.81,206.58,39
P0081,Green Tea Max 81,Grocery,Staples,85.95,137.5,40
P0082,Storage Box Smart 82,Home & Kitchen,Furniture,174.41,263.71,36
P0083,Moisturizer Elite 83,Personal Care,Wellness,105.7,135.0,127
P0084,Sunscreen Smart 84,Personal Care,Skincare,120.81,196.09,96
P0085,Body Lotion Essential 85,Personal Care,Wellness,123.59,161.69,144
P0086,USB Hub Smart 86,Electronics,Mobile,181.87,286.45,52
P0087,Fitness Band Pro 87,Sports & Fitness,Fitness,23.74,32.8,241
P0088,Face Wash Max 88,Personal Care,Haircare,96.64,123.65,103
P0089,Pen Set Smart 89,Office Supplies,Writing,65.31,79.58,24
P0090,Cereal Essential 90,Grocery,Beverages,163.59,253.1,186
P0091,Bluetooth Speaker Essential 91,Electronics,Accessories,210.29,309.55,81
P0092,Water Bottle Plus 92,Home & Kitchen,Storage,142.3,182.49,199
P0093,Printer Paper Plus 93,Office Supplies,Office Equipment,195.11,245.25,99
P0094,USB Hub Smart 94,Electronics,Accessories,100.97,153.08,39
P0095,Yoga Mat Max 95,Sports & Fitness,Outdoor,213.02,311.48,50
P0096,Running Shoes Smart 96,Sports & Fitness,Fitness,166.4,201.74,185
P0097,File Folder Smart 97,Office Supplies,Stationery,206.12,253.45,112
P0098,Rice Prime 98,Grocery,Packaged Food,110.57,168.61,186
P0099,Desk Organizer Smart 99,Office Supplies,Writing,206.96,301.84,102
P0100,Mixer Elite 100,Home & Kitchen,Kitchen,63.23,88.42,176
P0101,Cereal Pro 101,Grocery,Packaged Food,125.09,166.71,144
P0102,Air Fryer Max 102,Home & Kitchen,Appliances,87.06,138.75,199
P0103,Calculator Essential 103,Office Supplies,Stationery,24.15,36.67,145
P0104,Skipping Rope Elite 104,Sports & Fitness,Outdoor,162.54,229.29,222
P0105,USB Hub Essential 105,Electronics,Accessories,102.89,133.18,189
